id,elo_overall,match_number
roger federer-sw-81,2182,0
novak djokovic-se-87,2142,0
andy murray-gr-87,2121,0
rafael nadal-sp-86,2114,0
nikolay davydenko-ru-81,2090,0
juan martin del potro-ar-88,2085,0
andy roddick-un-82,2070,0
robin soderling-sw-84,2067,0
david nalbandian-ar-82,1986,0
gael monfils-fr-86,1977,0
jo wilfried tsonga-fr-85,1977,0
lleyton hewitt-au-81,1970,0
radek stepanek-cz-78,1957,0
marin cilic-cr-88,1949,0
tommy haas-ge-78,1947,0
gilles simon-fr-84,1936,0
stanislas wawrinka-sw-85,1930,0
mario ancic-cr-84,1927,0
david ferrer-sp-82,1923,0
juan carlos ferrero-sp-80,1922,0
sam querrey-un-87,1912,0
mikhail youzhny-ru-82,1905,0
marcos baghdatis-cy-85,1900,0
tomas berdych-cz-85,1889,0
nicolas kiefer-ge-77,1889,0
tommy robredo-sp-82,1881,0
philipp kohlschreiber-ge-83,1880,0
janko tipsarevic-se-84,1878,0
james blake-un-79,1875,0
ivan ljubicic-cr-79,1875,0
juan monaco-ar-84,1871,0
mardy fish-un-81,1869,0
richard gasquet-fr-86,1867,0
ivo karlovic-cr-79,1857,0
jurgen melzer-au-81,1850,0
potito starace-it-81,1850,0
feliciano lopez-sp-81,1847,0
nicolas almagro-sp-85,1842,0
marat safin-ru-80,1840,0
joachim johansson-sw-82,1836,0
andreas seppi-it-84,1836,0
viktor troicki-se-86,1828,0
dmitry tursunov-ru-82,1827,0
benjamin becker-ge-81,1825,0
fabrice santoro-fr-72,1823,0
kristof vliegen-be-82,1821,0
juan ignacio chela-ar-79,1817,0
thomaz bellucci-br-87,1816,0
xavier malisse-be-80,1815,0
yen hsun lu-ch-83,1810,0
albert montanes-sp-80,1807,0
pablo cuevas-ur-86,1806,0
simon greul-ge-81,1805,0
robin haase-ne-87,1804,0
paul henri mathieu-fr-82,1803,0
sebastien grosjean-fr-78,1802,0
florian mayer-ge-83,1802,0
fabio fognini-it-87,1800,0
ernests gulbis-la-88,1798,0
jarkko nieminen-fi-81,1797,0
victor hanescu-ro-81,1797,0
kei nishikori-ja-89,1797,0
rui machado-po-84,1796,0
marc gicquel-fr-77,1794,0
nicolas lapentti-ec-76,1792,0
jan hajek-cz-83,1792,0
alejandro falla-co-83,1791,0
robby ginepri-un-82,1791,0
john isner-un-85,1791,0
michael llodra-fr-80,1790,0
stephane robert-fr-80,1789,0
niels desein-be-87,1788,0
simone bolelli-it-85,1788,0
jose acasuso-ar-82,1787,0
marco chiudinelli-sw-81,1787,0
igor kunitsyn-ru-81,1786,0
carlos moya-sp-76,1784,0
evgeny korolev-ka-88,1784,0
lukas lacko-sl-87,1784,0
younes el aynaoui-mo-71,1782,0
peter luczak-au-79,1781,0
pere riba-sp-88,1780,0
david guez-fr-82,1778,0
ivo minar-cz-84,1776,0
daniel koellerer-au-83,1776,0
jorge aguilar-ch-85,1774,0
jan hernych-cz-79,1774,0
julio silva-br-79,1773,0
eduardo schwank-ar-86,1772,0
julien benneteau-fr-81,1769,0
taylor dent-un-81,1768,0
marcos daniel-br-78,1768,0
frederico gil-po-85,1764,0
igor andreev-ru-83,1764,0
olivier rochus-be-81,1763,0
michael russell-un-78,1763,0
lamine ouahab-al-84,1763,0
dudi sela-is-85,1763,0
andreas beck-ge-86,1763,0
steve darcis-be-84,1762,0
nicolas mahut-fr-82,1758,0
